ticker,1y Target Est,1y Target Est,1y Target Est,1y Target Est,1y Target Est,1y Target Est,Day's Range,EPS (TTM),Earnings Date,Ex-Dividend Date,Forward Dividend & Yield,Market Cap,Open,PE Ratio (TTM),Previous Close,Volume,url,error
ABB.BO,1305.44,"1,123.00 - 1,744.40",0.00 x 0,"207,537",1.13,0.00 x 0,"1,271.10 - 1,295.40",22.869,,02-05-18,4.40 (0.34%),270.31B,"1,294.45",55.78,"1,284.40","2,746",http://finance.yahoo.com/quote/ABB.BO?p=ABB.BO,
AEGISLOG.BO,271.67,174.65 - 299.00,0.00 x 0,"6,353",0.76,0.00 x 0,196.50 - 206.00,6.063,,01-08-18,1.50 (0.73%),65.898B,205.15,32.54,205.65,"3,463",http://finance.yahoo.com/quote/AEGISLOG.BO?p=AEGISLOG.BO,
AMARAJABAT.BO,863.35,670.65 - 907.75,0.00 x 0,"29,534",0.43,0.00 x 0,775.00 - 786.60,27.963,,20-11-18,4.15 (0.56%),133.063B,785.25,27.86,781.1,"9,385",http://finance.yahoo.com/quote/AMARAJABAT.BO?p=AMARAJABAT.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
HDFC.BO,2088.12,"1,646.00 - 2,051.00",0.00 x 0,"194,768",1.1,0.00 x 0,"1,990.00 - 2,015.00",98.88,,19-07-18,20.00 (1.01%),3.453T,"1,991.00",20.31,"2,004.25","57,179",http://finance.yahoo.com/quote/HDFC.BO?p=HDFC.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
ANSALAPI.BO,30,9.65 - 30.00,0.00 x 0,"22,995",1.69,0.00 x 0,13.52 - 14.22,-8.874,,15-09-11,N/A (N/A),2.142B,14.2,N/A,14.26,"50,720",http://finance.yahoo.com/quote/ANSALAPI.BO?p=ANSALAPI.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
BOMDYEING.BO,91,82.35 - 321.60,0.00 x 0,"330,000",1.93,0.00 x 0,119.40 - 125.15,1.7,,19-07-18,1.00 (0.87%),24.836B,124.5,70.74,123.8,"118,420",http://finance.yahoo.com/quote/BOMDYEING.BO?p=BOMDYEING.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
ATUL.BO,3672.8,"2,500.00 - 3,618.00",0.00 x 0,"1,727",0.32,0.00 x 0,"3,510.00 - 3,580.00",93.211,,12-07-18,12.00 (0.35%),105.059B,"3,520.00",38,"3,490.25","9,169",http://finance.yahoo.com/quote/ATUL.BO?p=ATUL.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
BAJAJELEC.BO,574.75,403.00 - 706.35,0.00 x 0,"25,592",0.55,0.00 x 0,464.50 - 472.00,8.19,,02-08-18,3.50 (0.71%),47.823B,470.2,57.04,473.65,"4,454",http://finance.yahoo.com/quote/BAJAJELEC.BO?p=BAJAJELEC.BO,
BAJAJHIND.BO,8,5.65 - 14.85,0.00 x 0,"503,078",0.92,0.00 x 0,8.92 - 9.20,-4.54,,31-01-13,N/A (N/A),9.895B,9.05,N/A,9.1,"308,315",http://finance.yahoo.com/quote/BAJAJHIND.BO?p=BAJAJHIND.BO,
FORCEMOT.BO,5186,"1,560.00 - 3,499.00",0.00 x 0,"13,759",1.37,0.00 x 0,"1,560.00 - 1,592.95",111.655,,03-09-18,10.00 (0.62%),20.416B,"1,580.15",14.03,"1,581.80","8,714",http://finance.yahoo.com/quote/FORCEMOT.BO?p=FORCEMOT.BO,
BAJFINANCE.BO,2380.76,"1,514.40 - 2,995.10",0.00 x 0,"180,471",1.36,0.00 x 0,"2,526.65 - 2,554.35",58.096,,05-07-18,4.00 (0.16%),1.461T,"2,549.00",43.74,"2,535.60","39,500",http://finance.yahoo.com/quote/BAJFINANCE.BO?p=BAJFINANCE.BO,
BALRAMCHIN.BO,90,58.80 - 127.30,0.00 x 0,"339,032",0.34,0.00 x 0,107.25 - 110.75,9.86,,09-08-17,N/A (N/A),24.808B,110.65,11.01,110.85,"211,364",http://finance.yahoo.com/quote/BALRAMCHIN.BO?p=BALRAMCHIN.BO,
BANCOINDIA.BO,162,161.00 - 260.00,0.00 x 0,"6,123",0.22,0.00 x 0,179.00 - 183.25,17.378,,06-09-18,11.60 (6.36%),12.859B,183.25,10.35,180.55,"1,104",http://finance.yahoo.com/quote/BANCOINDIA.BO?p=BANCOINDIA.BO,
CENTURYTEX.BO,951,"718.25 - 1,444.95",0.00 x 0,"42,982",1.71,0.00 x 0,878.05 - 896.00,33.274,,23-07-18,6.50 (0.73%),98.616B,896,26.53,893.1,"25,567",http://finance.yahoo.com/quote/CENTURYTEX.BO?p=CENTURYTEX.BO,
BANARISUG.BO,1390,"1,385.25 - 2,133.65",0.00 x 0,210,0.01,0.00 x 0,"1,431.00 - 1,512.00",55.757,,11-09-18,10.00 (0.68%),18.26B,"1,487.85",26.12,"1,441.30",123,http://finance.yahoo.com/quote/BANARISUG.BO?p=BANARISUG.BO,
BASF.BO,1806,"1,502.40 - 2,270.00",0.00 x 0,"2,471",0.99,0.00 x 0,"1,512.75 - 1,550.95",24.66,,26-07-18,3.00 (0.20%),65.669B,"1,550.95",61.52,"1,515.30",262,http://finance.yahoo.com/quote/BASF.BO?p=BASF.BO,
BATAINDIA.BO,985,"656.80 - 1,177.00",0.00 x 0,"52,422",1.02,0.00 x 0,"1,148.65 - 1,162.20",17.157,,09-07-18,4.00 (0.35%),148.527B,"1,152.10",67.35,"1,152.30","13,222",http://finance.yahoo.com/quote/BATAINDIA.BO?p=BATAINDIA.BO,
BEML.BO,1305,"521.00 - 1,546.40",0.00 x 0,"148,708",1.93,0.00 x 0,884.00 - 908.40,31.137,2019-02-13 to 2019-02-18,19-09-18,8.00 (0.88%),37.145B,898.9,28.65,895.3,"146,505",http://finance.yahoo.com/quote/BEML.BO?p=BEML.BO,
BEL.BO,115.45,74.30 - 179.50,0.00 x 0,"684,316",0.92,0.00 x 0,86.20 - 88.25,5.828,,20-08-18,2.00 (2.17%),210.521B,87.5,14.82,87.05,"208,948",http://finance.yahoo.com/quote/BEL.BO?p=BEL.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
BLUESTARCO.BO,684.15,507.30 - 842.50,0.00 x 0,"13,994",0.53,0.00 x 0,610.00 - 615.00,16.794,,26-07-18,8.50 (1.39%),58.8B,610,36.35,610.35,321,http://finance.yahoo.com/quote/BLUESTARCO.BO?p=BLUESTARCO.BO,
DISAQ.BO,3528,"5,000.00 - 6,900.00",0.00 x 0,236,0.29,0.00 x 0,"5,325.00 - 5,720.00",114.496,2018-11-12 to 2018-11-13,31-07-18,2.50 (0.05%),8.152B,"5,330.00",48.96,"5,590.00",222,http://finance.yahoo.com/quote/DISAQ.BO?p=DISAQ.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
CESC.BO,1181.63,"643.05 - 1,116.65",0.00 x 0,"32,082",1.26,0.00 x 0,681.25 - 699.05,68.846,,08-03-18,12.00 (1.82%),91.36B,688.15,10,685,"36,803",http://finance.yahoo.com/quote/CESC.BO?p=CESC.BO,
CHAMBLFERT.BO,206,128.25 - 209.45,0.00 x 0,"40,857",0.91,0.00 x 0,163.30 - 168.80,11.985,,24-08-18,1.90 (1.16%),68.315B,168.8,13.7,167.8,"13,527",http://finance.yahoo.com/quote/CHAMBLFERT.BO?p=CHAMBLFERT.BO,
EXIDEIND.BO,284.04,192.85 - 304.65,0.00 x 0,"91,360",0.82,0.00 x 0,246.25 - 252.20,8.129,,15-11-18,2.40 (0.92%),209.865B,252,30.37,250.5,"38,084",http://finance.yahoo.com/quote/EXIDEIND.BO?p=EXIDEIND.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
CGPOWER.BO,66.09,32.85 - 98.00,0.00 x 0,"730,034",2.14,0.00 x 0,42.80 - 43.90,-11.499,06-02-19,06-02-15,N/A (N/A),27.013B,43.75,N/A,43.55,"298,468",http://finance.yahoo.com/quote/CGPOWER.BO?p=CGPOWER.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
DALMIASUG.BO,690,46.00 - 118.05,0.00 x 0,"37,464",0.35,0.00 x 0,99.65 - 103.50,15.11,,23-08-17,N/A (N/A),8.13B,103.5,6.65,103.7,"16,903",http://finance.yahoo.com/quote/DALMIASUG.BO?p=DALMIASUG.BO,
ARVIND.BO,402.5,90.25 - 458.25,0.00 x 0,"474,228",0.72,0.00 x 0,92.80 - 94.95,12.63,,21-08-18,2.40 (2.50%),24.09B,94.9,7.38,94.4,"80,419",http://finance.yahoo.com/quote/ARVIND.BO?p=ARVIND.BO,
BALLARPUR.BO,15.82,4.4000 - 16.5000,0.00 x 0,"868,273",1.64,0.00 x 0,4.4000 - 4.6000,-8.692,,22-09-15,N/A (N/A),5.885B,4.6,N/A,4.63,"175,300",http://finance.yahoo.com/quote/BALLARPUR.BO?p=BALLARPUR.BO,
BHEL.BO,75.66,61.55 - 108.00,0.00 x 0,"931,678",2.15,0.00 x 0,69.80 - 71.10,1.202,2019-02-06 to 2019-02-11,11-09-18,1.02 (1.49%),259.568B,70.35,58.82,70.1,"636,135",http://finance.yahoo.com/quote/BHEL.BO?p=BHEL.BO,
HINDPETRO.BO,391.44,163.45 - 414.50,0.00 x 0,"673,857",0.88,0.00 x 0,238.40 - 245.90,47.37,,28-06-18,5.00 (2.14%),365.177B,244.6,5.06,244,"177,266",http://finance.yahoo.com/quote/HINDPETRO.BO?p=HINDPETRO.BO,
IFCI.BO,26,11.50 - 31.70,0.00 x 0,"361,532",1.5,0.00 x 0,14.49 - 14.99,-6.05,2018-11-12 to 2018-11-16,17-02-16,N/A (N/A),24.778B,14.99,N/A,14.83,"111,803",http://finance.yahoo.com/quote/IFCI.BO?p=IFCI.BO,
MTNL.BO,15,11.90 - 27.30,0.00 x 0,"291,510",1.16,0.00 x 0,14.85 - 15.20,-47.158,2019-02-11 to 2019-02-15,17-09-09,N/A (N/A),9.387B,15,N/A,15,"176,979",http://finance.yahoo.com/quote/MTNL.BO?p=MTNL.BO,
MRPL.BO,95,61.25 - 133.00,0.00 x 0,"140,426",0.66,0.00 x 0,69.35 - 70.65,11.37,2019-02-06 to 2019-02-11,28-06-18,3.00 (4.24%),121.806B,70.05,6.11,70.45,"53,474",http://finance.yahoo.com/quote/MRPL.BO?p=MRPL.BO,
CHENNPETRO.BO,363,221.20 - 459.40,0.00 x 0,"38,383",1.34,0.00 x 0,261.40 - 267.10,50.788,,14-08-18,18.50 (6.92%),39.208B,267,5.18,265.95,"15,912",http://finance.yahoo.com/quote/CHENNPETRO.BO?p=CHENNPETRO.BO,
RELCAPITAL.BO,687.5,195.50 - 545.55,0.00 x 0,"661,990",1.95,0.00 x 0,208.60 - 219.50,101.57,,12-09-18,11.00 (5.05%),53.193B,218.5,2.07,217.6,"580,239",http://finance.yahoo.com/quote/RELCAPITAL.BO?p=RELCAPITAL.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
SAIL.BO,80,49.05 - 98.45,0.00 x 0,"852,278",1.78,0.00 x 0,49.50 - 50.40,-0.681,,11-08-15,N/A (N/A),205.494B,50.15,N/A,49.9,"723,297",http://finance.yahoo.com/quote/SAIL.BO?p=SAIL.BO,
TITAN.BO,1015.79,"731.70 - 1,006.00",0.00 x 0,"146,389",0.31,0.00 x 0,955.00 - 965.10,12.729,,23-07-18,3.75 (0.39%),852.718B,961.35,75.46,961.35,"21,962",http://finance.yahoo.com/quote/TITAN.BO?p=TITAN.BO,
IDBI.BO,41,47.00 - 89.80,0.00 x 0,"381,342",0.9,0.00 x 0,58.10 - 61.00,-34.005,2019-02-06 to 2019-02-11,04-08-15,N/A (N/A),403.123B,61,N/A,60.65,"399,328",http://finance.yahoo.com/quote/IDBI.BO?p=IDBI.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
DHAMPURSUG.BO,28,72.00 - 218.30,0.00 x 0,"88,645",0.97,0.00 x 0,175.80 - 181.95,19.169,,08-02-18,6.00 (3.43%),11.741B,180.1,9.23,181.3,"65,072",http://finance.yahoo.com/quote/DHAMPURSUG.BO?p=DHAMPURSUG.BO,
DIAMINESQ.BO,33,80.15 - 215.95,0.00 x 0,"9,942",0.58,0.00 x 0,147.15 - 153.20,13.012,,06-11-18,5.50 (4.13%),1.46B,153,11.47,146.15,"11,912",http://finance.yahoo.com/quote/DIAMINESQ.BO?p=DIAMINESQ.BO,
ELANTAS.BO,1250,"1,725.25 - 2,450.00",0.00 x 0,"1,729",0.34,0.00 x 0,"2,260.00 - 2,300.00",83.027,2018-07-23 to 2018-07-27,26-04-18,4.50 (0.19%),18.091B,"2,275.00",27.48,"2,294.70",177,http://finance.yahoo.com/quote/ELANTAS.BO?p=ELANTAS.BO,
DRREDDY.BO,2581.68,"1,888.00 - 2,745.00",0.00 x 0,"49,524",-0.09,0.00 x 0,"2,593.10 - 2,631.10",96.037,01-02-19,16-07-18,20.00 (0.76%),431.441B,"2,616.80",27.06,"2,616.80","9,698",http://finance.yahoo.com/quote/DRREDDY.BO?p=DRREDDY.BO,
EIDPARRY.BO,230,177.00 - 372.20,0.00 x 0,"23,552",0.86,0.00 x 0,212.65 - 224.10,-2.202,,26-07-18,3.00 (1.34%),37.797B,220.8,N/A,222.1,"541,224",http://finance.yahoo.com/quote/EIDPARRY.BO?p=EIDPARRY.BO,
MERCK.BO,1918.5,"1,309.90 - 3,549.00",0.00 x 0,"2,253",0.61,0.00 x 0,"3,150.00 - 3,256.10",90.751,,21-05-18,15.00 (0.47%),52.932B,"3,157.70",35.14,"3,176.90","1,573",http://finance.yahoo.com/quote/MERCK.BO?p=MERCK.BO,
ELECTCAST.BO,25,16.15 - 36.95,0.00 x 0,"22,877",1.99,0.00 x 0,21.15 - 21.30,3.47,,06-09-18,0.30 (1.44%),8.637B,21.25,6.14,21.15,"11,555",http://finance.yahoo.com/quote/ELECTCAST.BO?p=ELECTCAST.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
ESABINDIA.BO,440,"578.60 - 1,044.00",0.00 x 0,"1,512",1.29,0.00 x 0,905.00 - 916.00,31.484,,03-12-18,91.00 (10.21%),14.065B,905,29.02,905,840,http://finance.yahoo.com/quote/ESABINDIA.BO?p=ESABINDIA.BO,
ESSELPRO.BO,113.29,85.00 - 149.50,0.00 x 0,"18,918",0.29,0.00 x 0,111.00 - 115.00,5.706,,17-05-18,1.20 (1.12%),36.014B,111,20.02,110.7,"14,037",http://finance.yahoo.com/quote/ESSELPRO.BO?p=ESSELPRO.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
FERROALL.BO,7.1,4.3100 - 14.0000,0.00 x 0,"41,615",-0.1,0.00 x 0,4.5600 - 4.8900,2.989,,30-08-11,N/A (N/A),852.233M,4.89,1.54,4.62,"10,018",http://finance.yahoo.com/quote/FERROALL.BO?p=FERROALL.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
FINCABLES.BO,740.88,402.00 - 744.50,0.00 x 0,"3,376",0.87,0.00 x 0,433.25 - 450.90,21.584,,12-09-18,4.00 (0.89%),67.215B,449,20.34,449.4,"6,256",http://finance.yahoo.com/quote/FINCABLES.BO?p=FINCABLES.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
UFLEX.BO,538,245.40 - 475.00,0.00 x 0,"8,919",1.46,0.00 x 0,265.40 - 268.20,43.336,2018-11-09 to 2018-11-13,24-07-18,2.00 (0.74%),19.309B,267,6.17,268.15,"1,650",http://finance.yahoo.com/quote/UFLEX.BO?p=UFLEX.BO,
FOSECOIND.BO,837,"1,267.10 - 1,948.85",0.00 x 0,727,0.45,0.00 x 0,"1,616.70 - 1,650.00",51.03,,06-11-18,34.00 (2.49%),10.408B,"1,625.00",31.94,"1,650.95",457,http://finance.yahoo.com/quote/FOSECOIND.BO?p=FOSECOIND.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
METROGLOBL.BO,86,54.00 - 99.00,0.00 x 0,502,0.13,0.00 x 0,62.10 - 67.00,10.945,,19-09-13,N/A (N/A),1.076B,67,6.02,64.8,152,http://finance.yahoo.com/quote/METROGLOBL.BO?p=METROGLOBL.BO,
GTL.BO,484,5.00 - 15.50,0.00 x 0,"29,430",0.54,0.00 x 0,6.80 - 7.30,-28.897,2019-01-30 to 2019-02-04,07-10-11,N/A (N/A),1.117B,7.3,N/A,7.08,"25,031",http://finance.yahoo.com/quote/GTL.BO?p=GTL.BO,
GODFRYPHLP.BO,627,"640.45 - 1,000.00",0.00 x 0,"17,146",0.42,0.00 x 0,947.00 - 972.00,30.601,,17-09-18,8.00 (0.90%),49.49B,969.75,31.11,962.2,"9,792",http://finance.yahoo.com/quote/GODFRYPHLP.BO?p=GODFRYPHLP.BO,
GODREJIND.BO,832,434.10 - 656.90,0.00 x 0,"23,845",0.87,0.00 x 0,519.55 - 529.80,14.107,,03-08-18,1.75 (0.32%),176.686B,529.8,37.23,525.15,"7,584",http://finance.yahoo.com/quote/GODREJIND.BO?p=GODREJIND.BO,
KANSAINER.BO,468.73,343.40 - 540.45,0.00 x 0,"31,369",0.91,0.00 x 0,445.10 - 460.00,9.545,,14-06-18,2.60 (0.58%),244.993B,445.5,47.63,448.55,"2,413",http://finance.yahoo.com/quote/KANSAINER.BO?p=KANSAINER.BO,
