ABB,'ABB'
AEGISLOG,'AEGISLOG'
AMARAJABAT,'AMARAJABAT'
AMBALALSA,'AMBALALSA'
HDFC,'HDFC'
ANDHRAPET,'ANDHRAPET'
ANSALAPI,'ANSALAPI'
APPLEFIN,'APPLEFIN'
ARUNAHTEL,'ARUNAHTEL'
BOMDYEING,'BOMDYEING'
ASIANHOTNR,'ASIANHOTNR'
ASSAMCO,'ASSAMCO'
ATUL,'ATUL'
ATVPR,'ATVPR'
AUTOLITIND,'AUTOLITIND'
BAJAJELEC,'BAJAJELEC'
BAJAJHIND,'BAJAJHIND'
FORCEMOT,'FORCEMOT'
BAJFINANCE,'BAJFINANCE'
BALRAMCHIN,'BALRAMCHIN'
BANCOINDIA,'BANCOINDIA'
CENTURYTEX,'CENTURYTEX'
BANARISUG,'BANARISUG'
BASF,'BASF'
BATAINDIA,'BATAINDIA'
BEML,'BEML'
BEL,'BEL'
BEPL,'BEPL'
TATASTLBSL,'TATASTLBSL'
BIHSPONG,'BIHSPONG'
BINANIIND,'BINANIIND'
BIRLACABLE,'BIRLACABLE'
BLUESTARCO,'BLUESTARCO'
DISAQ,'DISAQ'
BNKCAP,'BNKCAP'
BPL,'BPL'
OAL,'OAL'
CENTEXT,'CENTEXT'
CESC,'CESC'
CHAMBLFERT,'CHAMBLFERT'
EXIDEIND,'EXIDEIND'
CIPLA,'CIPLA'
DICIND,'DICIND'
CRISIL,'CRISIL'
CGPOWER,'CGPOWER'
DABUR,'DABUR'
DALMIASUG,'DALMIASUG'
ARVIND,'ARVIND'
BALLARPUR,'BALLARPUR'
BHEL,'BHEL'
HINDPETRO,'HINDPETRO'
IFCI,'IFCI'
MTNL,'MTNL'
MRPL,'MRPL'
CHENNPETRO,'CHENNPETRO'
RELCAPITAL,'RELCAPITAL'
SBIN,'SBIN'
SAIL,'SAIL'
TITAN,'TITAN'
IDBI,'IDBI'
DCW,'DCW'
DHAMPURSUG,'DHAMPURSUG'
DIAMINESQ,'DIAMINESQ'
ELANTAS,'ELANTAS'
DRREDDY,'DRREDDY'
EIDPARRY,'EIDPARRY'
MERCK,'MERCK'
ELECTCAST,'ELECTCAST'
EMPEESUG,'EMPEESUG'
ESABINDIA,'ESABINDIA'
ESSELPRO,'ESSELPRO'
ESTER,'ESTER'
FERROALL,'FERROALL'
FGP,'FGP'
PHCAP,'PHCAP'
FINCABLES,'FINCABLES'
CMIFPE,'CMIFPE'
UFLEX,'UFLEX'
FOSECOIND,'FOSECOIND'
GOLDENTOBC,'GOLDENTOBC'
GANESHBE,'GANESHBE'
GARDENSILK,'GARDENSILK'
METROGLOBL,'METROGLOBL'
GTL,'GTL'
GODFRYPHLP,'GODFRYPHLP'
GODREJIND,'GODREJIND'
KANSAINER,'KANSAINER'
GOODRICKE,'GOODRICKE'
GOODYEAR,'GOODYEAR'
GTNINDS,'GTNINDS'
GHCL,'GHCL'
GUJFLUORO,'GUJFLUORO'
GLFL,'GLFL'
HCL-INSYS,'HCL-INSYS'
HDFCBANK,'HDFCBANK'
HEROMOTOCO,'HEROMOTOCO'
HFCL,'HFCL'
HSCL,'HSCL'
HCC,'HCC'
HINDOILEXP,'HINDOILEXP'
HSIL,'HSIL'
HINDZINC,'HINDZINC'
HINDUJAVEN,'HINDUJAVEN'
HMT,'HMT'
PRAGBOS,'PRAGBOS'
HOTELEELA,'HOTELEELA'
IGPL,'IGPL'
INDIAGLYCO,'INDIAGLYCO'
MARGOFIN,'MARGOFIN'
INDORAMA,'INDORAMA'
INFY,'INFY'
INGERRAND,'INGERRAND'
INSILCO,'INSILCO'
IFSL,'IFSL'
ITHL,'ITHL'
IONEXCHANG,'IONEXCHANG'
ATFL,'ATFL'
JISLJALEQS,'JISLJALEQS'
JASCH,'JASCH'
JCTLTD,'JCTLTD'
JINDALPOLY,'JINDALPOLY'
